name,poi_id,osm_way_id,waterway,barrier,area,centroid,geometry
,41,68705311,water,,5.15971525002049e-07,POINT (-110.9995188 33.6048248),"POLYGON ((-110.9998508 33.6051394, -110.9995813 33.6052476, -110.9993765 33.6052567, -110.9992795 33.6051755, -110.9992148 33.604959, -110.9991393 33.6044449, -110.9991474 33.6044406, -110.9992579 33.6043818, -110.9995382 33.6044088, -110.9997322 33.6045531, -110.9998723 33.6047155, -110.9999478 33.6048869, -110.9999262 33.6049861, -110.9998508 33.6051394))"
 Substitute Tank,42,68705359,water,,3.791145249987024e-07,POINT (-111.0570925 33.6108848),"POLYGON ((-111.0575236 33.6106774, -111.057471 33.6108589, -111.0573856 33.6110018, -111.057379 33.6110128, -111.057287 33.6111008, -111.0571621 33.6111392, -111.0570439 33.6111777, -111.0570307 33.6111777, -111.0568992 33.6112107, -111.0567284 33.6111832, -111.0566999 33.6111376, -111.0566628 33.6110787, -111.0566824 33.6110127, -111.0567087 33.6109303, -111.056827 33.6107543, -111.0569322 33.6106444, -111.0570307 33.6106114, -111.0570504 33.6106059, -111.0572344 33.6105619, -111.0573987 33.6105784, -111.0575236 33.6106774))"
,43,68705579,water,,5.789576499927586e-08,POINT (-111.0319921 33.7475666),"POLYGON ((-111.0318658 33.7476406, -111.0318198 33.747558, -111.0318461 33.7475141, -111.0319119 33.7474702, -111.0319844 33.7474537, -111.0320501 33.7474317, -111.0321159 33.7475031, -111.0321357 33.7475526, -111.0321489 33.7475967, -111.0321225 33.7476407, -111.0320896 33.7476681, -111.0320501 33.7476846, -111.0319842 33.7476845, -111.0319381 33.7476681, -111.0318658 33.7476406))"
 Pinto Mesa Tank,44,68705632,water,,5.523297499993467e-08,POINT (-110.9889351 33.6135568),"POLYGON ((-110.9887497 33.6135696, -110.9887928 33.6135155, -110.9888791 33.6134524, -110.9890725 33.6134434, -110.9890731 33.6135606, -110.98903 33.6136418, -110.9889545 33.6137049, -110.9888669 33.6136475, -110.9887497 33.6135696))"
,45,68705695,water,,2.2738563500235708e-07,POINT (-111.0332762 33.6994317),"POLYGON ((-111.0335421 33.6994269, -111.0335538 33.6994762, -111.0335538 33.6995421, -111.0335538 33.6995751, -111.033586 33.6996585, -111.0335188 33.699685, -111.0332841 33.6996301, -111.0332184 33.6996191, -111.0330999 33.6996135, -111.033021 33.699586, -111.0329947 33.69952, -111.0329684 33.6994431, -111.0329816 33.6993606, -111.0330145 33.6992946, -111.0330342 33.6992507, -111.0330803 33.6992177, -111.0331659 33.6991957, -111.0332711 33.6991902, -111.0333697 33.6992068, -111.0334421 33.6992177, -111.0334881 33.6992672, -111.0335079 33.6993443, -111.0335407 33.6994212, -111.0335421 33.6994269))"
,46,68705696,water,,8.109854999869068e-08,POINT (-110.9406053 33.7299541),"POLYGON ((-110.940752 33.729881, -110.9407736 33.7299171, -110.9407627 33.7300163, -110.9407303 33.7300704, -110.9407087 33.7301065, -110.9406547 33.7301245, -110.9406115 33.7301155, -110.9405576 33.7300884, -110.9405264 33.7300624, -110.9405036 33.7300432, -110.9404605 33.7299891, -110.9404389 33.729962, -110.9404174 33.7299079, -110.9404174 33.7298628, -110.9404714 33.7298448, -110.9405146 33.7298178, -110.9405902 33.7298088, -110.9406225 33.7297998, -110.9406765 33.7298269, -110.940752 33.729881))"
,47,68705733,water,,6.43793299990007e-08,POINT (-111.1503656 33.6125493),"POLYGON ((-111.150341 33.6127275, -111.1502557 33.6126286, -111.1502557 33.6124966, -111.1503215 33.6123537, -111.1503741 33.6123427, -111.1504529 33.6124582, -111.1504856 33.6126232, -111.1504331 33.6127221, -111.150341 33.6127275))"
,48,68705773,water,,3.5027244999265366e-08,POINT (-110.951649 33.6708833),"POLYGON ((-110.9517118 33.6709864, -110.9516985 33.6709975, -110.9516554 33.6709975, -110.9516122 33.6709704, -110.9515907 33.6709524, -110.9515583 33.6709072, -110.9515368 33.6708261, -110.9515584 33.67079, -110.9515908 33.670781, -110.9516231 33.670772, -110.9516771 33.6707991, -110.9517202 33.6708081, -110.9517418 33.6708532, -110.9517525 33.6708983, -110.9517525 33.6709344, -110.9517309 33.6709704, -110.9517118 33.6709864))"
 Deer Hill Tank,49,68710522,water,,1.6236650499959492e-07,POINT (-111.16165 33.638995),"POLYGON ((-111.1616035 33.6386651, -111.1616574 33.638683, -111.1617006 33.63871, -111.161733 33.6387641, -111.1617547 33.6388362, -111.1618089 33.6389624, -111.1618846 33.6390976, -111.1618955 33.6391607, -111.1618417 33.6391879, -111.1617231 33.6392061, -111.1615506 33.6392243, -111.1614751 33.6392425, -111.1614427 33.6391974, -111.1614425 33.6391072, -111.161464 33.6390441, -111.1614963 33.639017, -111.1615177 33.6389177, -111.161539 33.6388004, -111.1615389 33.6387193, -111.1615603 33.6386561, -111.1616035 33.6386651))"
,50,68712878,water,,8.909236000044992e-08,POINT (-111.1545844 33.6408414),"POLYGON ((-111.1546302 33.6406673, -111.1546842 33.6406853, -111.1547167 33.6407664, -111.1547384 33.6408476, -111.1547493 33.6409377, -111.1547494 33.6409828, -111.1547279 33.6410099, -111.1546631 33.6409829, -111.1546092 33.640965, -111.1545122 33.6409831, -111.1544475 33.6409832, -111.1544043 33.6409652, -111.1543827 33.6409472, -111.1543934 33.6409111, -111.1544257 33.640884, -111.154458 33.6408299, -111.1544579 33.6407757, -111.1544685 33.6407126, -111.1545116 33.6406674, -111.1545655 33.6406584, -111.1546302 33.6406673))"
